var1,var2
51.16838387306909,61.2870990093146
51.05418102337692,61.66323532853983
51.145263110380355,60.47587596676287
49.42253199894044,59.75294214783534
52.002482730292826,61.74102654213611
50.066700870930184,60.40857363185554
51.866851844706865,61.83644086737683
48.649097313969285,58.96557767048501
50.02098358635424,60.688742393883935
51.24991457096922,61.25355961612767
49.2847578127772,59.793537131253245
49.24731103178226,58.65309401420827
49.061461296393105,58.7006590761751
48.94748672066126,59.70709557635535
49.5628404668196,59.751534453331566
50.33117917295898,59.30506776274212
47.98578950207928,57.30377077603809
50.21198043337229,60.11158992557773
51.23667504641657,61.66956474858382
52.037574018240434,61.98663239038282
51.301175992200584,61.61326972821091
50.75677476379596,61.236277452689876
48.27326960088567,59.10879701531714
49.39849329199322,59.4265016586307
49.64795354341738,59.62196259032693
50.70352390275689,59.82690522318576
49.89432866599623,59.94399246304014
48.74135137193983,58.45542634299205
51.684435708094114,61.19743091669207
50.911391291795965,60.821438176272196
